Year,Age,Time,outlier,Type,Country_group,Activity_group,Fatal (Y/N)
1875.0,24.0,14.0,1,1.0,5,1,0.0
1874.0,24.0,15.0,-1,0.0,0,1,0.0
1869.0,24.0,14.0,1,0.0,5,2,0.0
1862.0,24.0,14.0,1,0.0,5,3,1.0
1853.0,24.0,14.0,-1,0.0,5,1,0.0
1852.0,24.0,14.0,-1,1.0,5,1,0.0
1852.0,24.0,14.0,-1,0.0,5,0,1.0
1852.0,24.0,1.0,-1,1.0,5,3,1.0
1847.0,19.0,14.0,-1,0.0,5,1,1.0
1801.0,24.0,14.0,-1,0.0,5,1,1.0
2023.0,24.0,14.0,1,0.0,0,2,0.0
2022.0,24.0,17.0,1,0.0,0,0,0.0
2022.0,60.0,14.0,1,0.0,5,3,1.0
2022.0,24.0,9.0,1,0.0,0,2,0.0
2022.0,56.0,14.0,1,0.0,5,1,1.0
2022.0,32.0,15.0,1,0.0,5,0,0.0
2022.0,18.0,17.0,1,0.0,0,0,0.0
2020.0,56.0,7.0,1,0.0,0,0,1.0
2020.0,12.0,11.0,1,0.0,0,0,0.0
2020.0,22.0,17.0,1,0.0,0,0,0.0
2020.0,24.0,16.0,1,0.0,5,0,0.0
2019.0,24.0,14.0,1,0.0,5,3,0.0
2019.0,18.0,13.0,1,0.0,0,0,0.0
2019.0,10.0,16.0,1,0.0,5,1,0.0
2019.0,46.0,16.0,1,0.0,0,0,0.0
2018.0,14.0,10.0,1,0.0,0,0,0.0
2018.0,42.0,10.0,1,0.0,0,2,0.0
2018.0,14.0,11.0,1,0.0,0,0,0.0
2018.0,34.0,14.0,1,0.0,5,3,0.0
2018.0,37.0,8.0,1,0.0,5,0,0.0
2017.0,35.0,6.0,-1,0.0,5,0,0.0
2017.0,24.0,9.0,1,0.0,5,1,1.0
2017.0,24.0,15.0,1,0.0,5,2,0.0
2017.0,12.0,15.0,1,0.0,0,3,0.0
2016.0,61.0,9.0,1,0.0,5,3,0.0
2016.0,24.0,14.0,1,0.0,5,0,0.0
2016.0,19.0,13.0,1,0.0,0,0,0.0
2016.0,24.0,12.0,1,1.0,5,0,0.0
2016.0,15.0,11.0,1,0.0,0,0,0.0
2015.0,50.0,17.0,1,0.0,0,0,0.0
2014.0,24.0,14.0,1,1.0,5,3,0.0
2014.0,53.0,13.0,1,0.0,0,3,0.0
2014.0,29.0,14.0,1,0.0,5,3,0.0
2013.0,45.0,13.0,1,0.0,0,1,0.0
2013.0,39.0,14.0,1,0.0,5,1,0.0
2012.0,51.0,15.0,1,0.0,0,1,0.0
2012.0,53.0,14.0,1,0.0,5,2,0.0
2012.0,24.0,14.0,1,0.0,5,2,0.0
2012.0,6.0,11.0,1,0.0,0,1,0.0
2011.0,10.0,15.0,1,0.0,5,1,0.0
2011.0,24.0,14.0,1,0.0,0,0,0.0
2011.0,29.0,14.0,1,0.0,0,3,0.0
2011.0,24.0,17.0,1,0.0,0,1,0.0
2011.0,14.0,14.0,1,1.0,5,1,0.0
2011.0,24.0,14.0,1,1.0,5,3,0.0
2010.0,16.0,15.0,1,0.0,0,0,0.0
2010.0,46.0,13.0,1,0.0,0,0,0.0
2010.0,14.0,14.0,1,0.0,5,0,0.0
2010.0,9.0,14.0,1,0.0,5,3,0.0
2010.0,24.0,14.0,1,0.0,5,0,0.0
